wl	p
4.405286343612334	1.3536811110842957
4.403346543372963	1.3943607251041186
4.401408450704225	1.3966155156734108
4.399472063352397	1.3795595188994902
4.397537379067722	1.3690979254103992
4.395604395604395	1.3864804551409764
4.393673110720562	1.3928740008897875
4.391743522178304	1.360266646517138
4.389815627743634	1.3934177495673397
4.387889425186485	1.3947027136967036
4.385964912280701	1.3590148461611073
4.384042086804033	1.3713268041243623
4.382120946538124	1.3568721688032055
4.380201489268506	1.3778540659750018
4.378283712784588	1.3920753776956114
4.3763676148796495	1.3852737615382718
4.374453193350831	1.3610602501370614
4.3725404459991255	1.3810462804192971
4.370629370629371	1.3753996175427943
4.36871996505024	1.3502814478563818
4.366812227074235	1.3963483642737116
4.364906154517678	1.3773592311050866
4.363001745200698	1.3380189778451674
4.361098996947231	1.3558885879172529
4.359197907585004	1.3529171257719952
4.357298474945534	1.3385653027498028
4.355400696864112	1.3936666062098697
4.3535045711797995	1.3809643943048695
4.351610095735422	1.3540602996941558
4.349717268377555	1.3957842958100457
4.3478260869565215	1.353577821663195
4.34593654932638	1.396615515673722
4.344048653344917	1.3961886279312221
4.342162396873643	1.3670438453589613
4.340277777777778	1.3694568713203028
4.3383947939262475	1.3931280054366195
4.336513443191674	1.354179200225671
4.334633723450368	1.3695178392516458
4.332755632582322	1.3626283805205786
4.330879168471199	1.3648859473620325
4.329004329004329	1.396615515673813
4.327131112072696	1.3776972133366552
4.325259515570934	1.3459010191540384
4.323389537397319	1.393247418903892
4.32152117545376	1.3966090412414747
4.319654427645788	1.3965627125412916
4.317789291882556	1.3852528082341053
4.315925766076823	1.391319553868969
4.3140638481449525	1.3966148015357966
4.3122035360068995	1.383084071330621
4.310344827586206	1.3760422690059038
4.308487720809996	1.3758897135790873
4.306632213608958	1.345990207279161
4.304778303917348	1.3595147178819214
4.3029259896729775	1.3942854900777475
4.301075268817204	1.371535322857644
4.299226139294927	1.396615515673813
4.297378599054577	1.359282814232463
4.29553264604811	1.392943263330083
4.293688278231	1.3844589240247023
4.291845493562231	1.3931030633895751
4.29000429000429	1.390948645967994
4.288164665523156	1.393875385133105
4.286326618088299	1.3966155156734354
4.284490145672665	1.3486291003547595
4.282655246252676	1.3966135795993615
4.280821917808219	1.3818737151699638
4.278990158322635	1.3809560188525847
4.27715996578272	1.3847218621173316
4.275331338178709	1.3816123144882861
4.273504273504273	1.3843104191912532
4.271678769756514	1.3567100661088334
4.269854824935952	1.3638632493184524
4.2680324370465215	1.3571563169851355
4.266211604095563	1.3956751780104395
4.264392324093817	1.396615515673801
4.262574595055414	1.36881691002932
4.260758414997869	1.3707075084466465
4.258943781942079	1.3480473242854378
4.257130693912303	1.396615515673813
4.25531914893617	1.3452238069105085
4.253509145044662	1.3966155153752415
4.2517006802721085	1.3964159412538661
4.249893752656184	1.3581597018111515
4.248088360237893	1.3652666684889934
4.246284501061571	1.3544641341169246
4.244482173174872	1.3772913937980658
4.242681374628765	1.39623350948349
4.2408821034775235	1.3399520338001032
4.23908435777872	1.396615515673813
4.23728813559322	1.3523151755656215
4.235493434985176	1.3337312715677931
4.233700254022015	1.340120955469002
4.231908590774439	1.3493821640324601
4.230118443316413	1.3543192544498248
4.2283298097251585	1.3429718028122801
4.22654268808115	1.3442534248162408
4.224757076468102	1.3392307911999684
4.222972972972973	1.365652002993552
4.221190375685944	1.386876747006915
4.219409282700422	1.3427714859589883
4.217629692113032	1.3964926209013258
4.2158516020236085	1.3315531829689193
4.214075010535187	1.3364347132016334
4.212299915754001	1.3520609033212372
4.2105263157894735	1.3432595467041242
4.2087542087542085	1.3826650035446466
4.206983592763988	1.396615515673672
4.205214465937763	1.3437189218417238
4.203446826397646	1.3487557705348872
4.201680672268907	1.33861923865071
4.199916001679966	1.334796441944592
4.198152812762384	1.3580838138860012
4.19639110365086	1.3407773281596993
4.194630872483222	1.3435127944553382
4.192872117400419	1.396615515673813
4.191114836546522	1.3324237423224032
4.189359028068705	1.3351885124805694
4.187604690117253	1.34985096892998
4.185851820845542	1.32914755845878
4.184100418410042	1.3457696592951611
4.182350480970305	1.3329421301232953
4.180602006688963	1.3437094761352426
4.178854993731718	1.3161461018714462
4.177109440267335	1.333091366146932
4.17536534446764	1.3270793055763992
4.173622704507513	1.3321697449389331
4.171881518564873	1.3426831511585748
4.170141784820684	1.3272996084820927
4.168403501458942	1.3284313627990942
4.166666666666666	1.3255441549867244
4.164931278633903	1.3201662848838152
4.163197335553705	1.3183286880560725
4.161464835622139	1.3175367028436282
4.159733777038269	1.342812469207188
4.158004158004157	1.3486574753610177
4.156275976724855	1.3079400778203685
4.154549231408391	1.3466408625360744
