#   Wavelength        (Rp/Rs)**2
#           um          unitless
     4.5392646   1.289828268e-02
     4.5372051   1.290349836e-02
     4.5351474   1.288676546e-02
     4.5330916   1.289591916e-02
     4.5310376   1.290423763e-02
     4.5289855   1.293820632e-02
     4.5269353   1.285801364e-02
     4.5248869   1.286625523e-02
     4.5228403   1.289698619e-02
     4.5207957   1.293964004e-02
     4.5187528   1.293332984e-02
     4.5167118   1.285468507e-02
     4.5146727   1.286332223e-02
     4.5126354   1.293964004e-02
     4.5105999   1.289429503e-02
     4.5085663   1.284827815e-02
     4.5065345   1.285932279e-02
     4.5045045   1.292516095e-02
     4.5024764   1.285105390e-02
     4.5004500   1.291987257e-02
     4.4984256   1.286490541e-02
     4.4964029   1.293964003e-02
     4.4943820   1.286093068e-02
     4.4923630   1.290328211e-02
     4.4903458   1.286704503e-02
     4.4883303   1.288681913e-02
     4.4863167   1.291996719e-02
     4.4843049   1.286157893e-02
     4.4822949   1.288742500e-02
     4.4802867   1.293714723e-02
     4.4782803   1.289773129e-02
     4.4762757   1.288116368e-02
     4.4742729   1.293629188e-02
     4.4722719   1.288395414e-02
     4.4702727   1.286762534e-02
     4.4682752   1.287070096e-02
     4.4662796   1.286972108e-02
     4.4642857   1.286970589e-02
     4.4622936   1.288760039e-02
     4.4603033   1.285852697e-02
     4.4583148   1.285910837e-02
     4.4563280   1.286958524e-02
     4.4543430   1.287187067e-02
     4.4523598   1.288265370e-02
     4.4503783   1.285818398e-02
     4.4483986   1.290900526e-02
     4.4464206   1.285418842e-02
     4.4444444   1.291566877e-02
     4.4424700   1.289431227e-02
     4.4404973   1.290395308e-02
     4.4385264   1.287254915e-02
     4.4365572   1.290221570e-02
     4.4345898   1.293232359e-02
     4.4326241   1.286207640e-02
     4.4306602   1.283953426e-02
     4.4286980   1.286801406e-02
     4.4267375   1.286940485e-02
     4.4247788   1.290667899e-02
     4.4228218   1.284252463e-02
     4.4208665   1.288681203e-02
     4.4189129   1.284545710e-02
     4.4169611   1.286699510e-02
     4.4150110   1.284466192e-02
     4.4130627   1.284663853e-02
     4.4111160   1.286717942e-02
     4.4091711   1.292311083e-02
