#   Wavelength        (Rp/Rs)**2
#           um          unitless
     4.7573739   1.405706952e-02
     4.7551117   1.406456979e-02
     4.7528517   1.405642183e-02
     4.7505938   1.406075285e-02
     4.7483381   1.405631502e-02
     4.7460845   1.406068636e-02
     4.7438330   1.405788142e-02
     4.7415837   1.405940367e-02
     4.7393365   1.405829907e-02
     4.7370914   1.405884228e-02
     4.7348485   1.406113530e-02
     4.7326077   1.406341478e-02
     4.7303690   1.406027856e-02
     4.7281324   1.406772691e-02
     4.7258979   1.406545734e-02
     4.7236656   1.405726080e-02
     4.7214353   1.405618768e-02
     4.7192072   1.405647052e-02
     4.7169811   1.406447388e-02
     4.7147572   1.405762421e-02
     4.7125353   1.405705053e-02
     4.7103156   1.405664297e-02
     4.7080979   1.406112495e-02
     4.7058824   1.406024644e-02
     4.7036689   1.405627560e-02
     4.7014575   1.405725783e-02
     4.6992481   1.407195656e-02
     4.6970409   1.405619026e-02
     4.6948357   1.405718649e-02
     4.6926326   1.407807344e-02
     4.6904315   1.405992801e-02
     4.6882325   1.405613074e-02
     4.6860356   1.405647970e-02
     4.6838407   1.405840248e-02
     4.6816479   1.406033457e-02
     4.6794572   1.405647255e-02
     4.6772685   1.405649985e-02
     4.6750818   1.406145849e-02
     4.6728972   1.405784068e-02
     4.6707146   1.405846740e-02
     4.6685341   1.405704500e-02
     4.6663556   1.405755556e-02
     4.6641791   1.406174010e-02
     4.6620047   1.405693336e-02
     4.6598322   1.408570314e-02
     4.6576619   1.405693571e-02
     4.6554935   1.405686559e-02
     4.6533271   1.405873737e-02
     4.6511628   1.405707719e-02
     4.6490005   1.406192461e-02
     4.6468401   1.405686597e-02
     4.6446818   1.406304165e-02
     4.6425255   1.405747590e-02
     4.6403712   1.406730127e-02
     4.6382189   1.405798251e-02
     4.6360686   1.405658908e-02
     4.6339203   1.406077274e-02
     4.6317740   1.406243980e-02
     4.6296296   1.406857125e-02
     4.6274873   1.405644382e-02
     4.6253469   1.406767467e-02
     4.6232085   1.406216183e-02
     4.6210721   1.405635513e-02
     4.6189376   1.405770161e-02
     4.6168052   1.406065336e-02
     4.6146747   1.405743076e-02
     4.6125461   1.405639046e-02
     4.6104195   1.406266350e-02
     4.6082949   1.405857536e-02
     4.6061723   1.405749435e-02
     4.6040516   1.405649503e-02
     4.6019328   1.406286073e-02
     4.5998160   1.405689552e-02
     4.5977011   1.405864633e-02
     4.5955882   1.406290093e-02
     4.5934773   1.406342414e-02
     4.5913682   1.405616523e-02
     4.5892611   1.405892684e-02
     4.5871560   1.406263160e-02
     4.5850527   1.405823003e-02
     4.5829514   1.405772861e-02
     4.5808520   1.406269976e-02
     4.5787546   1.406658118e-02
     4.5766590   1.407220884e-02
     4.5745654   1.406569135e-02
     4.5724737   1.406752099e-02
     4.5703839   1.405781050e-02
     4.5682960   1.405686649e-02
     4.5662100   1.407040336e-02
     4.5641260   1.405750702e-02
     4.5620438   1.405686873e-02
     4.5599635   1.406158627e-02
     4.5578851   1.405812099e-02
     4.5558087   1.405689656e-02
     4.5537341   1.405769272e-02
     4.5516614   1.406163016e-02
     4.5495905   1.405713828e-02
     4.5475216   1.405697124e-02
     4.5454545   1.406613389e-02
     4.5433894   1.405686015e-02
     4.5413261   1.405896637e-02
     4.5392646   1.406371626e-02
     4.5372051   1.405630069e-02
     4.5351474   1.405761960e-02
